City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.4,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Batticaloa,LK,75.9,clear sky,7.7102,81.6924,Grand Star Guest House
14,Victoria,SC,78.06,scattered clouds,-4.6167,55.45,Coral Strand Smart Choice Hotel
15,Busselton,AU,77.04,scattered clouds,-33.65,115.3333,Observatory Guest House
29,Mayumba,GA,77.04,moderate rain,-3.432,10.6554,LIKWALE LODGE
35,Arraial Do Cabo,BR,75.63,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Humberto De Campos,BR,75.31,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
48,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,The Valley,AI,77.83,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
66,Bubaque,GW,77.81,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
67,Caravelas,BR,76.55,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
68,Atuona,PF,78.8,clear sky,-9.8,-139.0333,Villa Enata
85,Georgetown,SH,77.65,few clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
97,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
103,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
125,Port Alfred,ZA,77.49,overcast clouds,-33.5906,26.891,The Halyards Hotel
148,Belmopan,BZ,75.29,clear sky,17.25,-88.7667,Villa San Juan
167,Bengkulu,ID,75.76,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
169,Yenagoa,NG,75.36,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
176,Ahipara,NZ,75.99,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
178,East London,ZA,76.73,overcast clouds,-33.0153,27.9116,Tu Casa
183,Lorengau,PG,77.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
195,Ruteng,ID,76.77,few clouds,-8.6136,120.4721,Hotel FX 72
200,Vao,NC,78.42,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
217,Northam,AU,79.21,broken clouds,-31.6667,116.6667,Northam Motel
222,Guaratinga,BR,77.67,clear sky,-16.5667,-39.5667,Hotel Caraíva
240,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
253,Tabou,CI,77.5,overcast clouds,4.423,-7.3528,hotêl doufoulougou
255,Angamali,IN,76.95,mist,10.2,76.4,Quality Airport Hotel
267,Groningen,SR,77.92,scattered clouds,5.8,-55.4667,Guesthouse Alberg (NV Pusu)
269,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
