City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.4,69,90,4.99,overcast clouds
1,Nanortalik,GL,60.1432,-45.2371,7.34,67,41,15.77,scattered clouds
2,Ilulissat,GL,69.2167,-51.1,3.22,51,100,6.91,overcast clouds
3,Pisco,PE,-13.7,-76.2167,69.85,78,0,14.97,clear sky
4,De Land,US,29.0283,-81.3031,60.15,83,4,4.81,clear sky
5,Shimoda,JP,34.6667,138.95,52.16,41,1,12.84,clear sky
6,Coquimbo,CL,-29.9533,-71.3436,62.33,94,0,5.75,clear sky
7,Ribeira Grande,PT,38.5167,-28.7,59.49,73,53,12.64,broken clouds
8,Birao,CF,10.2849,22.7882,61.79,26,35,5.93,scattered clouds
9,Avarua,CK,-21.2078,-159.775,82.45,78,20,11.5,few clouds
10,Hithadhoo,MV,-0.6,73.0833,82.69,70,11,12.03,few clouds
11,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,24.16,scattered clouds
12,Batticaloa,LK,7.7102,81.6924,75.9,70,4,0.78,clear sky
13,Saint-Philippe,RE,-21.3585,55.7679,81.95,94,100,23.85,moderate rain
14,Victoria,SC,-4.6167,55.45,78.06,83,40,5.75,scattered clouds
15,Busselton,AU,-33.65,115.3333,77.04,36,48,12.91,scattered clouds
16,Pevek,RU,69.7008,170.3133,-6.43,79,100,2.98,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,42.46,65,40,37.98,scattered clouds
18,Yellowknife,CA,62.456,-114.3525,-28.59,88,0,5.75,clear sky
19,San Quintin,MX,30.4833,-115.95,58.42,68,56,8.21,broken clouds
20,Te Anau,NZ,-45.4167,167.7167,66.25,98,100,4.47,moderate rain
21,New Norfolk,AU,-42.7826,147.0587,64.65,38,83,1.99,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,66.9,85,2,4.45,light rain
23,Jamestown,SH,-15.9387,-5.7168,68.88,66,97,10.63,overcast clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,0.0,few clouds
25,Nizwa,OM,22.9333,57.5333,65.1,30,16,2.26,few clouds
26,Alice Springs,AU,-23.7,133.8833,71.15,100,100,14.97,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,-19.61,65,100,11.41,overcast clouds
28,Sovetskiy,RU,61.3614,63.5842,19.09,92,100,9.4,overcast clouds
29,Mayumba,GA,-3.432,10.6554,77.04,90,99,5.44,moderate rain
30,Vaini,TO,-21.2,-175.2,86.16,70,40,10.36,scattered clouds
31,Nouadhibou,MR,20.931,-17.0347,66.18,72,96,9.22,overcast clouds
32,Graciano Sanchez,MX,23.9167,-99.2833,65.55,69,0,1.63,clear sky
33,Motygino,RU,58.1831,94.7592,-2.45,98,98,1.21,overcast clouds
34,Fort Nelson,CA,58.8053,-122.7002,-17.01,76,0,0.0,clear sky
35,Arraial Do Cabo,BR,-22.9661,-42.0278,75.63,88,100,8.88,overcast clouds
36,Ferrol,ES,43.4832,-8.2369,46.51,86,0,5.57,clear sky
37,Kodiak,US,57.79,-152.4072,38.71,87,100,6.91,mist
38,Kaoma,ZM,-14.7833,24.8,63.72,93,100,2.37,overcast clouds
39,Albany,AU,-35.0169,117.8917,68.43,60,100,18.41,overcast clouds
40,Humberto De Campos,BR,-2.5983,-43.4611,75.31,94,72,6.17,broken clouds
41,Cape Town,ZA,-33.9258,18.4232,68.11,83,75,1.99,broken clouds
42,Filadelfia,PY,-22.35,-60.0333,82.42,49,92,7.45,overcast clouds
43,Hays,US,30.0502,-98.0336,58.51,82,89,7.63,overcast clouds
44,Chokurdakh,RU,70.6333,147.9167,-8.91,94,100,7.0,overcast clouds
45,Sanming,CN,26.2486,117.6186,50.43,96,100,2.19,light rain
46,Traverse City,US,44.7631,-85.6206,39.94,75,40,11.5,scattered clouds
47,Oussouye,SN,12.485,-16.5469,74.71,43,2,5.19,clear sky
48,Kapaa,US,22.0752,-159.319,79.12,66,0,4.0,clear sky
49,The Valley,AI,18.217,-63.0578,77.83,77,5,10.98,clear sky
50,Grindavik,IS,63.8424,-22.4338,30.67,100,75,10.36,light snow
51,Kyshtovka,RU,56.555,76.6271,-2.0,100,99,5.44,overcast clouds
52,Champerico,GT,14.3,-91.9167,80.35,69,0,8.19,clear sky
53,Coihaique,CL,-45.5752,-72.0662,58.95,51,0,9.22,clear sky
54,Saint-Georges,GF,3.9,-51.8,72.46,99,100,1.92,overcast clouds
55,Rapid Valley,US,44.0625,-103.1463,13.32,55,0,5.01,clear sky
56,Iqaluit,CA,63.7506,-68.5145,-7.31,69,75,17.0,light snow
57,Ostrovnoy,RU,68.0531,39.5131,19.58,91,100,11.56,overcast clouds
58,Vardo,NO,70.3705,31.1107,29.43,65,100,16.08,light snow
59,Narsaq,GL,60.9167,-46.05,14.22,81,14,4.5,few clouds
60,Kahului,US,20.8947,-156.47,80.62,66,40,20.71,scattered clouds
61,Carnarvon,AU,-24.8667,113.6333,84.27,70,99,14.97,overcast clouds
62,Rafaela,AR,-31.2503,-61.4867,81.99,47,68,1.99,broken clouds
63,Bairnsdale,AU,-37.8333,147.6167,66.06,57,72,5.01,broken clouds
64,Helong,CN,42.5397,128.9972,17.22,49,7,8.21,clear sky
65,Sitka,US,57.0531,-135.33,30.09,80,100,20.71,light snow
66,Bubaque,GW,11.2833,-15.8333,77.81,77,2,4.18,clear sky
67,Caravelas,BR,-17.7125,-39.2481,76.55,94,75,7.45,broken clouds
68,Atuona,PF,-9.8,-139.0333,78.8,74,7,17.69,clear sky
69,Khatanga,RU,71.9667,102.5,-38.04,99,28,2.3,scattered clouds
70,Pajapan,MX,18.25,-94.7,70.11,90,2,2.51,clear sky
71,Tibati,CM,6.4667,12.6333,62.53,30,20,3.38,few clouds
72,Hilo,US,19.7297,-155.09,73.8,86,75,6.91,broken clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,70.09,86,0,1.01,clear sky
74,Barrow,US,71.2906,-156.7887,-16.58,69,0,10.36,haze
75,Butaritari,KI,3.0707,172.7902,82.36,76,19,13.42,few clouds
76,Kaitangata,NZ,-46.2817,169.8464,80.2,51,94,8.52,overcast clouds
77,College,US,64.8569,-147.8028,-9.42,71,20,0.0,few clouds
78,Provideniya,RU,64.3833,-173.3,14.11,62,20,29.08,few clouds
79,Constitucion,MX,23.9912,-104.6749,50.13,26,0,8.81,clear sky
80,Chuy,UY,-33.6971,-53.4616,62.06,77,0,6.67,clear sky
81,Bluff,NZ,-46.6,168.3333,72.81,85,89,10.56,overcast clouds
82,Luderitz,NA,-26.6481,15.1594,63.5,92,59,8.16,broken clouds
83,Mahebourg,MU,-20.4081,57.7,80.26,94,75,26.46,broken clouds
84,Saskylakh,RU,71.9167,114.0833,-28.57,100,44,1.88,scattered clouds
85,Georgetown,SH,-7.9333,-14.4167,77.65,78,20,11.5,few clouds
86,San Javier,BO,-16.2739,-62.5044,68.31,99,100,4.16,overcast clouds
87,Eldorado,AR,-26.4045,-54.6258,71.8,46,2,1.81,clear sky
88,Okha,RU,53.5739,142.9478,2.1,89,97,21.92,overcast clouds
89,Thompson,CA,55.7435,-97.8558,-23.64,69,0,6.91,clear sky
90,Ancud,CL,-41.8697,-73.8203,59.23,93,100,3.67,overcast clouds
91,Syamzha,RU,60.0158,41.0614,18.86,96,100,4.97,light snow
92,Nebbi,UG,2.4783,31.0889,74.55,49,98,1.92,overcast clouds
93,Porto Novo,CV,17.0197,-25.0647,69.8,78,2,7.38,clear sky
94,Pangody,RU,65.85,74.4859,-16.6,100,94,6.91,overcast clouds
95,Cabra,PH,13.8883,120.0494,80.4,72,37,23.71,scattered clouds
96,Khingansk,RU,49.1167,131.1833,-3.53,92,99,6.42,overcast clouds
97,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,14.97,scattered clouds
98,Lagos,NG,6.5833,3.75,75.52,83,6,3.6,clear sky
99,Igarapava,BR,-20.0383,-47.7469,70.72,96,100,1.03,moderate rain
